Name,Gender,RollNumber,Email,Phone,Branch,CGPA,Company Placed In,CTC (LPA),Passing Year
Matthew Gallagher,Female,CD28bg60,carrilloashley@patel.net,+1-610-274-6843x8381,CE,6.29,Reliance,44.06,2024
Albert Jones,Female,Rc13Ae70,luke25@thomas-austin.com,001-843-903-8053,IT,8.14,TCS,30.26,2025
Luis Adams,Female,Xo49tZ25,obrown@gmail.com,972-875-6765x311,AE,7.58,Adobe,4.47,2023
Vanessa Braun,Male,ZL10mP31,orubio@gmail.com,(147)227-7417x519,BT,7.18,TCS,16.45,2025
Eric Miller,Other,gD82Qz69,curtisthomas@gmail.com,001-061-828-7714x72725,ECE,5.95,TCS,5.06,2024
Kelly Brown,Other,sx62Mq20,suzanne25@hotmail.com,+1-687-975-1996x31003,AE,9.72,Google,38.33,2024
Ashley Jackson,Female,ts56SW09,elizabeth99@cox.com,4757635851,BT,8.13,Zomato,7.85,2025
Anthony Fisher,Other,lq31yS40,sandrawalker@gmail.com,6360648529,EEE,8.73,Amazon,31.61,2025
Amy Blankenship,Female,Ro54nD88,calderonmichael@roberts-bryan.com,001-861-413-2539x20723,CE,8.18,Wipro,37.62,2025
Cesar Reeves,Male,NV50eV73,hsmith@rogers-mcdonald.biz,(460)689-3981x373,BT,8.18,Adobe,15.79,2025
Dennis Patton,Male,ov87cH08,jeffreywalters@petty.com,(897)635-1200x50618,BT,9.59,Infosys,16.72,2024
Crystal Dalton,Male,Ki08cd46,phillipmartin@hotmail.com,896.626.0417x469,CSE,9.2,Amazon,10.0,2023
Nathan Beck,Male,SX10qB44,gina27@aguirre.com,+1-913-846-6579x97317,ECE,8.42,Flipkart,26.52,2023
Trevor Williams,Male,iP08nF35,leslietorres@hotmail.com,001-841-526-2234x481,AE,9.42,Reliance,11.13,2023
Lucas Francis,Male,Yd77oE96,ofernandez@gmail.com,+1-831-275-5312,CHE,6.44,Reliance,5.31,2025
Laura Johns,Other,Oi54PD52,jacob04@gmail.com,(796)722-8118x37761,IT,8.48,Flipkart,38.53,2024
Sandra Ware,Male,uC22HN93,jonathanadams@hotmail.com,7284613232,ME,5.79,Paytm,37.44,2024
David Orr,Female,sq53aM59,garrettgray@bates.com,508.898.6075,IT,9.18,Paytm,26.32,2023
Kenneth Jefferson,Female,Xb68KR26,morenosharon@yahoo.com,001-829-756-3368x3349,ECE,7.15,Reliance,11.85,2025
Alex Wagner,Female,gF41xx50,yellis@gmail.com,(699)593-5302,AE,6.27,Adobe,18.17,2023
Noah Baker,Other,Ho12Ma34,thompsonmatthew@gmail.com,001-312-277-4592,IT,9.74,Flipkart,41.3,2025
Jeremy Quinn,Female,eh84xL62,xmartinez@gibson-horne.org,(743)270-7344x8559,IT,9.6,Adobe,35.68,2025
Deanna Hall,Male,OA62Vv42,staylor@gmail.com,(487)050-0612,CE,7.49,Google,34.2,2024
Gregory Mahoney,Male,bP29yY76,cfleming@hotmail.com,168-854-7988,CE,7.23,Zomato,31.69,2024
Roger Ross,Female,GB92Jh45,barnettdavid@gallagher-pittman.com,(923)549-4316,CE,9.41,Microsoft,22.92,2025
Leslie Orozco,Female,QO87JC74,christinahernandez@yahoo.com,158.493.6757x49226,CHE,5.55,Reliance,16.29,2023
Brian Taylor,Female,QM86zH17,tspencer@yoder-chapman.com,116.051.4397x8294,CSE,7.23,Amazon,23.19,2024
Rebecca Collins,Female,Gj37vU36,allenbailey@hodges.com,486-290-9181,AE,5.51,Wipro,39.98,2023
Larry Gutierrez,Male,gF84hI06,rbruce@gibson-fuller.com,207.677.3283x922,ECE,7.59,Microsoft,18.26,2025
Matthew Hoffman,Female,xL07Or64,anthony73@gmail.com,779.595.7847,EEE,7.98,Cisco,19.23,2024
Jacqueline Young,Male,CZ84Qf65,danielgarrett@garcia.com,194-741-3943x63376,IT,8.37,Wipro,36.75,2024
Maria Hubbard,Other,ka53zY60,buckleymicheal@scott.biz,001-598-887-4119x180,CHE,6.88,Microsoft,41.67,2024
Michael Davis,Other,tn51NL40,garrettsuarez@clark-salazar.net,740-108-3573x0576,AE,9.53,Microsoft,20.87,2023
Mary Shelton,Male,ya44Qx83,jennalarson@freeman.org,713.081.5843,IT,5.06,Adobe,29.51,2024
Sheila Smith,Other,KY24xY97,gregory38@ball.com,370-084-7587x606,AE,7.82,Cisco,9.71,2024
Thomas Watson,Female,bX09JN73,ricescott@yahoo.com,+1-497-655-3957,CHE,5.13,Infosys,43.12,2023
Tanya Evans,Other,LE21Zy82,garciatimothy@yahoo.com,614-683-5430,BT,6.35,Reliance,29.35,2025
Amanda Ross,Male,cj72jI37,halljames@gmail.com,001-637-748-1171,AE,6.0,Zomato,31.17,2023
Dawn Ballard,Male,Ml21hW37,thomasstephanie@smith-washington.com,713.080.0915,IT,7.15,Google,14.84,2023
Douglas Smith,Male,bF35zi18,nicholascollins@yahoo.com,326.991.5470,BT,6.63,TCS,29.62,2023
Gerald Keller,Male,YH14VQ77,james45@finley-marshall.com,051.951.3525x648,ME,8.67,Cisco,18.73,2024
Debra Scott,Female,fH51pN02,lindamoore@hotmail.com,(219)227-9153,BT,6.72,Zomato,19.83,2024
Ronald Stevenson,Other,bg84Ql23,evanscassidy@tucker-blankenship.biz,424.498.3811x9536,BT,8.91,Google,12.59,2023
Ronnie Mendez,Male,ZC47Qa58,andrea07@yahoo.com,+1-016-811-7859x4668,CHE,6.17,Paytm,18.93,2023
Julia Robbins,Other,Nw76qH07,shanegarcia@hotmail.com,001-851-362-9027x5761,BT,8.18,Microsoft,42.22,2023
Elizabeth Hamilton,Female,jB41SV77,howellchristy@ward.com,015-153-7256,EEE,7.39,Google,34.65,2025
Christian Fisher,Other,CH05rk94,bakerlauren@hotmail.com,1166816088,CSE,6.91,Cisco,3.55,2025
Jennifer Jacobson,Male,GK28Pk65,david60@baker.com,(681)754-9873,CHE,5.75,Infosys,11.85,2025
Maria Jenkins,Male,EC96uc30,acevedogregory@mendoza.com,(415)481-2505x969,EEE,6.43,Reliance,8.57,2023
Lisa Nguyen,Other,Me73HK57,tvazquez@gmail.com,(572)102-3262x78332,CSE,6.91,Cisco,32.58,2023
Mark Martinez,Other,Rb28wO29,robertrogers@hotmail.com,(343)012-9060x8994,CSE,6.01,Google,28.97,2025
John Gray,Male,YT01Uq24,kmartin@yahoo.com,531.292.8032,CSE,6.7,TCS,28.5,2023
Martin Robles,Female,Kb42lB04,rharris@gmail.com,681-407-1732x528,CHE,7.07,Wipro,17.67,2025
Tiffany Gray,Other,ZD81fO43,michael66@yahoo.com,425-691-6828,CSE,6.48,Infosys,11.55,2025
Kevin Wise,Male,lU07Rg79,ashley70@riley.com,210.155.6628x3017,AE,7.32,Reliance,20.29,2024
Paula Matthews,Other,CC09PI43,dianemitchell@austin.biz,663-002-5838x71154,IT,5.5,Microsoft,44.74,2025
Kimberly Armstrong,Male,Xc09Qo98,coreyhanna@gmail.com,(314)677-6435x7185,ECE,6.32,Flipkart,26.75,2024
Kristina Riley,Male,dO90LH62,hpeterson@yahoo.com,331.042.2249x22019,BT,6.67,Cisco,7.89,2025
John White,Other,HB45oR66,jessica44@williams-martinez.net,(952)732-7189,CE,6.71,Infosys,30.75,2024
Rhonda Thompson,Male,dK16pQ27,janetware@hotmail.com,425-618-0711,AE,8.93,Infosys,31.99,2024
Michele Walters,Other,ca85OE48,smithdavid@wheeler.com,394-583-6768x334,CE,8.88,Microsoft,13.91,2025
Sylvia Nguyen,Other,Hb09jz07,lgonzalez@gmail.com,936.283.6305x41511,CHE,7.51,Paytm,37.73,2025
Crystal Flores,Other,fZ21fX60,acevedodaniel@franklin.biz,+1-895-514-8304x895,CSE,5.4,Zomato,30.49,2023
Andrea Rodriguez,Male,ZI55tc80,carrie64@yahoo.com,4738943879,CSE,6.64,Amazon,20.48,2025
Brian Heath,Male,oH82zd64,handersen@lawson.com,001-737-842-9060x322,CHE,6.2,Zomato,44.57,2023
Todd Guzman,Male,WQ13bq11,warrenjimenez@sims-howard.com,309-361-4863,CE,5.08,Wipro,21.71,2023
Juan Garcia,Other,NE79bd11,mark26@gmail.com,(353)095-5481,IT,7.86,Microsoft,38.66,2024
Christine Robles,Female,Fs95nI34,taylorangela@carter-wolf.com,+1-380-911-2893x8893,BT,6.81,Microsoft,19.13,2025
Anthony Garcia,Male,hf23zU44,evanssuzanne@terry.biz,079-993-7088,ME,7.87,Reliance,16.09,2025
David Alvarado,Female,Vi94Gj49,ryan46@hotmail.com,281.275.4777x146,CSE,7.74,Google,25.8,2023
Jeffrey Jones,Other,Fk56QU34,eshelton@king-barton.com,975.688.0827x714,EEE,5.47,Reliance,40.74,2025
Joshua Harris,Other,yC96yr15,nsmith@yahoo.com,509-486-6709x7865,CE,7.28,Flipkart,17.28,2023
Matthew Mcmahon,Male,Zv55BX34,kgoodman@lang.org,876.554.7785x2102,CSE,6.27,Wipro,12.46,2024
Tyler Waller,Male,ls78Cn79,derek92@anderson.com,242.300.7056x2694,BT,7.0,Wipro,25.76,2023
William Perez,Male,Ac00rs07,stephenvelazquez@clark-martinez.com,+1-382-452-2162x7362,ECE,7.4,Adobe,39.0,2024
Patricia Pace,Other,Cu03xK71,henryjames@yahoo.com,438-597-7333x72273,CSE,8.9,Amazon,21.15,2024
Andrew Oneal,Male,jo01xS09,smithjill@roberts.com,106-149-8315,CHE,6.03,Wipro,35.21,2025
Angel Allen,Female,XA16Yl98,gmarshall@paul.com,934.554.1117,ECE,9.49,Infosys,23.67,2024
James Howell,Other,DH49mp43,bonnie11@webb.info,+1-628-093-0395,AE,5.1,Zomato,10.36,2023
Kristi Cain,Other,IN93uL25,xmiller@franklin.com,+1-396-709-1495x904,EEE,9.69,TCS,44.38,2023
Ashley Wallace,Female,Qh51xD55,cburch@yahoo.com,157-816-7292x7431,CSE,6.46,Zomato,8.02,2025
John Garcia,Female,Sx85yT16,mgiles@vasquez.com,001-792-421-5931,CHE,7.37,Infosys,41.8,2023
Dakota Velasquez,Female,Dd48TY55,joshuabarry@yahoo.com,(426)660-4567x33600,BT,5.47,Adobe,20.55,2024
Amy Brock,Female,qH79DJ22,andersonchristopher@frazier-hansen.com,+1-621-309-9263x936,EEE,8.66,TCS,36.14,2024
Brianna Roberts,Male,rG36Xg75,megan69@campbell-monroe.com,194.870.2642x863,ME,9.43,Cisco,19.86,2024
Bradley Taylor,Female,kR01ck47,stacydean@lee.com,332-287-8066x52819,CSE,9.54,Reliance,34.03,2025
Dennis Vaughn,Female,Wi87HP38,wendysimpson@gmail.com,(663)562-3291,EEE,7.84,Cisco,9.23,2024
Tanya Nichols,Male,pZ51ba65,uduran@phillips-perez.org,9116489450,EEE,6.32,Flipkart,44.79,2024
Cynthia Merritt,Male,ug57NF29,daniellee@thompson.com,634.862.4469,AE,9.76,Infosys,43.87,2024
Randy Gonzales,Male,fD93Ef03,villanuevajennifer@walker-parks.com,001-344-658-3899x188,ECE,5.82,Amazon,17.28,2023
Diana Brown,Female,Wa74MP54,jenniferwilson@yahoo.com,+1-255-132-8505x3180,CSE,7.78,Cisco,5.41,2024
Aaron Morales,Male,JR38sy50,alopez@morgan.com,001-154-817-2498x05648,AE,5.99,Paytm,15.55,2023
James Richardson,Female,Zw83gv24,lbauer@hotmail.com,075.957.4934x6507,AE,9.55,Reliance,11.27,2025
Catherine Richard,Male,de00lc19,jacobalexander@potter.com,(799)314-9926x317,AE,7.21,Flipkart,29.1,2024
Daniel Dean,Other,iE02Oa99,cantrelltina@ponce-smith.info,+1-758-997-8410x99427,ECE,6.9,Infosys,16.62,2025
James Torres,Female,bF10AG88,millercrystal@yahoo.com,(292)566-8852,CHE,7.51,Microsoft,17.15,2025
John Kelly,Male,qa58eg36,david15@gmail.com,001-801-225-2064x400,AE,5.57,Amazon,18.49,2025
Melissa Patterson,Male,AW38Eh92,eugene91@clark.com,150.923.5897x731,ECE,8.82,Google,12.61,2023
Kelly Moon,Other,rZ92Wl72,tranbrandon@yahoo.com,803-748-1202x705,EEE,7.98,Adobe,41.07,2025
Aaron Spencer,Male,Ys94YZ28,yrodriguez@nichols-hughes.net,+1-999-221-2811x16739,ME,7.92,Infosys,3.22,2024
Jennifer Mcbride,Female,Dj75mr72,daniellegould@hotmail.com,503-739-2058x93341,ECE,9.96,Google,24.0,2024
Larry Roth,Other,nB68Hx96,michael37@taylor-cruz.com,599.166.5163x60196,CSE,7.78,Google,32.41,2024
Ashley Collins,Male,Rj24gp93,tonyalong@martin-norton.com,001-467-452-5231x0525,AE,8.29,Google,22.64,2025
Jessica Griffin,Other,Tf18lv14,meghan27@dillon.biz,620.096.4886x27164,IT,8.09,TCS,36.89,2024
Oscar Becker,Other,JE67Ra86,garciabrian@hotmail.com,(363)658-0553x5597,BT,5.87,Adobe,14.58,2023
Olivia Snyder,Female,am85KV28,jamesreilly@perez.biz,(639)943-3897,ECE,7.16,Microsoft,39.75,2025
Amy Pierce,Other,HB90cf21,stephendiaz@hotmail.com,765.564.9379,CE,5.94,Google,14.13,2025
Lisa Jones,Female,Ij96xO87,murphyjasmine@yahoo.com,294-607-2830x61703,BT,7.52,Zomato,24.34,2025
Maria Hill,Female,Nd73SR61,dmarshall@green-mann.com,727-624-7127x1481,EEE,7.32,Cisco,6.8,2023
Ricky Jackson,Male,ty48Ay28,itran@yahoo.com,160.017.5170x96051,BT,8.37,Cisco,20.98,2023
Alexandra Butler,Other,LT93fr16,amaxwell@obrien.com,1719931346,BT,6.85,Adobe,28.55,2024
Deborah Gonzales,Male,jv23dj67,mcintoshpatrick@terrell.biz,822-123-3791x87177,CSE,6.92,Paytm,21.16,2024
Sarah Rogers,Other,RA86xg44,ehodge@yahoo.com,383.289.3381,EEE,9.08,Zomato,43.02,2024
Gregory Gray,Male,im10PD72,lmartinez@sullivan-castro.com,001-201-585-1234,CSE,5.14,Adobe,25.81,2024
Alyssa Stone,Male,UV03Ki44,mooneykyle@williams-newman.net,338-668-0205x8085,CE,9.51,Infosys,16.39,2025
Natasha Hill,Female,Ut41LP59,jerrythomas@gmail.com,+1-837-764-8756,BT,7.92,Google,33.1,2024
Dawn Vazquez,Other,Oa71kc95,xbailey@howell.com,732.167.5269x9442,ME,9.18,Reliance,31.75,2025
Adrienne Ortiz,Other,Kw25qq22,brightdavid@yahoo.com,510-684-2924x107,ME,6.64,Amazon,15.18,2024
Matthew Gonzales,Male,Pu41xO79,bsingh@hotmail.com,+1-796-791-5100x7357,CHE,7.21,Adobe,7.08,2025
Alejandro Mcclure,Male,Gc61iP75,matthewssean@gmail.com,(748)155-8617,CHE,9.71,TCS,20.36,2023
Jamie Palmer,Other,Lr08Ol73,ilamb@yahoo.com,(345)475-6391x3624,AE,8.28,Cisco,21.76,2023
Joshua Smith,Other,Oe96bj37,aroberts@yahoo.com,001-957-509-9177x57190,IT,7.21,Flipkart,41.1,2023
Donald Scott,Female,nG29SO01,miranda84@gmail.com,004-717-6707x287,CHE,5.59,Infosys,37.02,2024
Brooke Stafford,Female,mp46lE82,megan61@roberts.net,(132)963-8723,CSE,6.66,Microsoft,34.91,2023
Cassandra Mullins,Male,nS65PA03,klinelarry@gmail.com,554-873-9658x91786,CE,5.81,Microsoft,37.22,2025
James Lawrence,Male,ml85kH17,brian73@griffin.net,(791)243-6863x986,ECE,6.71,Paytm,3.46,2024
Katherine Soto,Other,oq16NO65,hessseth@herrera.com,800.952.7756x817,BT,7.08,Zomato,9.49,2023
Kenneth Johnson,Other,Ci57BI62,mccormickkatherine@mack.org,(543)906-9023,CE,6.76,Google,30.05,2024
Elizabeth Ortiz,Male,ku84zV49,balvarado@yahoo.com,(479)195-4507x0396,BT,5.87,Infosys,12.29,2025
Lawrence Johnson,Male,Ak97gx58,taylorjerry@rivers.org,(669)517-3338x42730,BT,5.13,Flipkart,33.1,2024
Kelsey Francis,Other,lz78xj19,nmorgan@lowery-rios.com,(906)616-5017x7588,ME,7.03,Microsoft,4.98,2023
Theodore Howard,Other,Tn11Ho27,burkecarl@hotmail.com,(142)637-8234,IT,6.18,Zomato,26.05,2023
Stephen Thomas,Female,ym48Ir97,tchapman@yahoo.com,7871655300,CSE,6.01,Infosys,33.61,2024
Beth White,Male,iV00eG74,richard68@hotmail.com,719-939-9920,EEE,7.09,Amazon,34.02,2025
Barbara Melton,Female,We31zh61,felicia06@gmail.com,555.500.0207x1327,AE,9.09,Reliance,19.93,2024
Natalie Hardy,Male,LH29WS25,laurie21@snyder-johnson.com,333.544.4285,CE,6.79,Infosys,30.92,2025
Brenda Smith,Male,pf65aW74,yjohnson@leach.info,578.425.4611x199,ME,8.2,Paytm,12.14,2025
Kenneth Hammond,Female,sX25cx21,jeffreyparker@obrien-king.biz,335.231.0400x4018,ECE,8.46,Cisco,26.57,2023
Alexis Alvarado,Male,qt88ch99,brandon49@gmail.com,+1-317-188-1394x904,CHE,7.23,Reliance,27.12,2023
Kathryn Garner,Other,zz10NJ10,nicholas26@hotmail.com,415.867.9176,EEE,8.7,Google,38.38,2024
Patrick Rivera,Female,Xk30Hq73,martinbarbara@williams.info,137-824-5076,CHE,5.97,Infosys,5.73,2025
Benjamin Campbell,Male,QZ50QS44,darryl18@hotmail.com,9477054182,CSE,5.17,Cisco,41.19,2023
Lynn Barber,Other,YH49cq31,cartervanessa@yahoo.com,+1-083-190-7693x489,ME,6.3,Infosys,19.72,2024
Krista Montgomery,Male,xT32IS53,xcooper@yahoo.com,001-258-556-9532x41165,BT,8.73,Amazon,32.5,2025
Rebecca Harmon,Male,Si47Rh18,julia43@pacheco-floyd.biz,609-636-6470x728,ECE,6.84,Wipro,9.39,2025
Jermaine Wagner,Other,sl39CO00,kjohnson@hotmail.com,149-047-9061x776,CHE,9.81,Infosys,17.7,2025
Ronnie Spencer,Female,xf73We66,xcole@yahoo.com,001-686-308-0421x032,IT,5.59,Amazon,32.09,2024
Zachary Barnes,Other,ce81sQ52,nbenitez@camacho.net,230-114-4891,CE,5.2,Reliance,31.88,2023
Keith Johnson,Male,sQ23RI76,michael67@crane.com,+1-937-691-4032,AE,5.69,Flipkart,13.46,2023
Abigail Lee DDS,Other,ym03Un10,linda20@gmail.com,+1-730-435-1063x13964,CE,5.05,Wipro,30.39,2025
Allison Nunez,Male,fW18lv77,richard27@edwards.com,+1-141-888-4318x74756,IT,5.32,Microsoft,38.35,2023
Frank Montoya,Female,AH32cq94,lwolf@gilbert.org,+1-506-677-3042x29732,CHE,7.54,Microsoft,30.84,2025
Linda Wilkins,Female,dS58JT64,dallen@yahoo.com,942-340-6075x71438,AE,7.21,Paytm,9.89,2025
Brenda Robinson,Female,tF10tI97,jennifer78@lee.com,001-301-861-7851x9157,IT,9.05,TCS,13.51,2025
Robert Benson,Female,bs44gM26,nicole39@yahoo.com,922-327-2950,ECE,9.83,Adobe,13.03,2024
Mark Diaz,Female,QC02GI53,kevin91@charles.com,+1-611-765-2142x2487,BT,5.72,Adobe,36.98,2025
Aaron Rodriguez,Other,sI44mm49,diaztamara@white-martin.com,001-216-983-1447x25273,AE,8.99,Wipro,4.76,2023
Christopher Burton,Other,dA75AD20,william28@yahoo.com,396.694.9718,AE,9.88,TCS,37.12,2025
Erica Miles,Male,vc07ex23,hansonbradley@aguirre-smith.com,(168)529-4224x976,EEE,6.56,Cisco,39.96,2024
Lisa Newton,Other,JT32oD81,cochransarah@morrow-villegas.com,001-106-108-4965x150,AE,8.01,Google,42.12,2024
Adam Frey,Male,Gc18MX36,patrickronald@figueroa.net,+1-641-107-6871,IT,9.7,Wipro,37.52,2023
Kim Green,Male,XZ47BE05,dominguezoscar@hotmail.com,001-144-856-2216x6754,ECE,8.1,Microsoft,42.06,2024
Alexander Love,Female,Ta72Lf94,cheyenne45@gmail.com,+1-277-298-5434x216,BT,6.87,Reliance,15.18,2025
Kathy Mcbride,Male,TW85SH80,aaronthomas@krueger.net,000.716.3005x3166,CE,5.87,Google,12.3,2023
Ronald Robinson,Female,uH17Dh02,coreygonzalez@gmail.com,640.876.2207,AE,9.57,Paytm,43.74,2023
Mark Camacho,Male,zr72Jl10,iansmith@campbell-cook.com,627-574-6861,CE,5.73,Flipkart,38.81,2025
Andrew Simmons,Male,Za32Ty30,dixonjoseph@johnson.com,+1-097-772-5354x4242,CE,9.01,Microsoft,18.3,2024
Kimberly Acevedo,Other,jA88dd11,lori58@diaz.com,631.172.6384x0518,EEE,8.86,Flipkart,17.04,2025
Nicole Mitchell,Other,ig34fe04,jose07@yahoo.com,4193092017,ECE,5.48,Infosys,8.62,2023
Kelly Bartlett,Male,Mg67mi45,joycesmith@george.com,+1-141-984-0964x35879,ME,8.29,Microsoft,33.59,2024
Leah Smith,Male,nS18aI42,owensjanet@yahoo.com,569-466-4960x8318,IT,9.85,Flipkart,43.06,2023
Lauren Randall,Male,LD21Kr53,robertmartin@yahoo.com,001-407-994-2076x335,ECE,9.51,Microsoft,7.95,2024
Michael Ruiz,Male,zj98fv14,joseph64@gmail.com,(367)959-0908x178,ECE,6.93,Zomato,7.88,2024
Diana Fox,Other,ps23pM97,tkennedy@gmail.com,+1-885-417-4974x538,BT,9.52,Microsoft,17.45,2025
Martin Alexander,Male,Yu39Ew71,jeremy27@lee.com,5826455764,ME,6.52,Reliance,29.55,2024
Sarah Daniels,Other,Kh61QO82,zpeterson@johnson.biz,+1-769-321-6668x143,AE,8.95,Microsoft,25.76,2025
Catherine Mack,Male,gD24lp14,emills@hotmail.com,869.246.9458x600,ME,8.95,Zomato,5.24,2024
Danielle Bond,Male,rr43yu48,carmen33@gmail.com,001-436-800-8877x5950,CSE,8.41,Google,28.94,2023
Jennifer Peterson,Male,wo55hP74,johnsmith@yahoo.com,704.058.2365,CHE,6.39,Microsoft,9.32,2025
Timothy Ryan,Male,kb79mk64,sara80@gmail.com,486-284-9930,ECE,6.96,Paytm,7.27,2025
Melissa Singh,Other,Ae70FL84,sharrell@rodriguez.net,001-743-087-7765x4793,CE,9.55,Microsoft,29.55,2023
Michelle Diaz,Other,gt84FC95,rhodesbethany@yahoo.com,6059470438,CE,7.73,Amazon,43.33,2025
Carlos Robinson,Male,nr96sK20,juliaramsey@alvarado-wright.com,+1-724-257-6734x1260,CSE,5.65,Reliance,11.46,2023
Carl Thomas,Male,Tz11Cj90,shamilton@yahoo.com,+1-611-676-7470,IT,7.77,Flipkart,24.97,2023
Jessica Rogers,Male,VC17LL10,markherrera@rose.com,(120)892-1130,CSE,8.36,Infosys,20.67,2024
Matthew Wright,Female,Mk76mV72,rlowe@yahoo.com,374-833-5173,AE,9.32,Wipro,15.32,2025
John Pena,Female,Ti33mo66,hernandezshelby@yahoo.com,3681304491,AE,7.42,Amazon,23.75,2023
Kristen Stephens,Other,KI66Cj73,joel26@williams.com,803.476.6187,BT,5.38,TCS,15.86,2025
Rhonda Mayo,Male,gl77gn30,josenguyen@archer-miller.com,809-025-2222,BT,5.31,Amazon,17.21,2023
Joshua Flores,Male,Aq53EO16,fphillips@rodriguez-williams.com,6156197097,BT,5.13,Google,23.98,2023
Carlos Cunningham,Other,DM50eA18,petersonadrian@morrison-price.org,645.104.5796x52648,CSE,9.18,Adobe,19.12,2024
William Stevenson,Other,PT45Wy13,daniel19@moore.org,970-895-9218,IT,5.85,Zomato,31.14,2025
Margaret Mills,Other,NT01Ey97,owilliams@yahoo.com,902.667.6347,IT,5.02,Reliance,24.44,2024
Kevin Bell,Male,Qc42YJ14,ascott@francis.net,2760877260,CE,7.8,Flipkart,16.02,2023
Cathy Butler,Other,Iy30kZ74,rdrake@gmail.com,695-395-2373x7570,CSE,7.32,Wipro,43.53,2023
Megan Brown,Female,od33kU02,doris57@gmail.com,1085469620,BT,5.4,Microsoft,16.96,2023
Chad Aguirre,Male,vo72vZ11,aaronramirez@george.com,131.827.0210x43385,EEE,9.25,Reliance,9.01,2024
Kevin Jackson,Other,Ia20Lu85,munozjay@miles.com,264.548.8577x050,ME,5.31,Paytm,10.67,2023
Laura Reed,Female,af22VV62,cflowers@gmail.com,823.290.5948x662,AE,6.92,Wipro,8.06,2024
Danielle Martinez,Female,ez98XS96,michelle47@smith.com,(871)273-3423x6859,ECE,7.64,Cisco,17.58,2025
Brooke Walton,Female,eO99cU30,lowecraig@hotmail.com,281-856-3488,IT,5.75,Cisco,44.65,2023
Mary Espinoza,Female,ot60wO07,jocelynjohnson@yahoo.com,497-333-9704x1374,BT,6.86,Zomato,34.87,2023
Matthew Robles,Female,Fd60FW49,erodriguez@hotmail.com,+1-357-441-4195x65009,ME,6.32,Paytm,43.74,2023
Cassandra Thompson,Male,yI28XJ42,shellyblackwell@yahoo.com,730.648.0403x821,IT,7.83,Amazon,17.3,2025
Kenneth Allen,Male,Dc73lT24,harrissusan@alvarez-turner.biz,(581)765-9485x3511,CE,7.98,Zomato,14.17,2024
Jennifer Whitehead,Female,VH07Zw90,davidwebb@gmail.com,+1-233-260-4587x50693,AE,7.24,Google,14.28,2023
Adam Dean,Female,no62Ki14,nicholas38@hotmail.com,893-214-5630x4663,CHE,9.25,Amazon,40.25,2025
Jennifer Dillon,Male,tz36Cz51,lesliegarza@burgess.com,+1-254-864-2790x255,CHE,5.23,Wipro,34.06,2025
Tony Willis,Male,An99vn74,mmoore@vaughn-dyer.com,369-780-2619,EEE,5.19,Adobe,11.58,2024
Russell Gibson,Female,Db94Vt70,matthewspatricia@phelps-webster.net,528.807.2776,AE,9.54,Cisco,18.88,2023
Kyle Moore,Other,cv01hH95,shannon30@gmail.com,498.089.1758x5700,AE,9.63,Google,6.49,2023
Drew Hubbard,Female,rO48Mt75,ilopez@yahoo.com,579.103.9051,AE,7.55,Cisco,34.24,2024
Katherine Harding,Male,vl25AJ25,dmeyer@yahoo.com,(524)689-5546,EEE,7.54,Wipro,36.05,2023
